Alış Tarihi;Satış Tarihi;Hisse;Alış Fiyat;Satış Fiyat;Kar;Ağırlık;Ağırlıklı Kar;;Günlük Kar;;;;Alış Tarihi;Satış Tarihi;Hisse;Alış Fiyat;Satış Fiyat;Kar;Ağırlık;;Ağırlıklı Kar;;Günlük Kar
3.06.2024;5.06.2024;GARAN;108,6;106,00;-2,39%;39%;-0,94%;;-0,11%;;;;3.06.2024;5.06.2024;GARAN;108,6;106,00;-2,39%;29,68%;-0,71%;;0,86%;
;;TURSG;80,5;81,60;1,37%;61%;0,83%;;;;;;;;TURSG;80,5;81,60;1,37%;43,82%;0,60%;;;
;;;;;;;;;;;;;;;ULKER;144,6;149,90;3,67%;26,50%;0,97%;;;
;;;;;;;;;;;;;;;;;;;;;;;
