"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"29.05.2024","34.203,66","34.921,00","34.958,58","34.203,66","2,66B","-1,84%"
"28.05.2024","34.843,61","35.018,90","35.143,98","34.682,76","2,88B","-0,28%"
"27.05.2024","34.941,10","35.613,19","35.652,49","34.901,16","3,07B","-1,73%"
"24.05.2024","35.557,56","35.975,05","36.006,72","35.514,53","2,62B","-1,03%"
"23.05.2024","35.926,66","36.200,74","36.334,22","35.926,66","3,17B","-0,73%"
"22.05.2024","36.192,65","35.847,26","36.259,13","35.794,25","3,18B","1,01%"
"21.05.2024","35.830,14","36.423,31","36.433,00","35.830,14","3,60B","-1,35%"
"20.05.2024","36.321,91","36.114,88","36.367,02","35.971,36","3,05B","0,64%"
"17.05.2024","36.092,14","35.918,70","36.092,14","35.895,77","2,90B","0,77%"
"16.05.2024","35.814,72","35.505,15","35.814,72","35.451,49","2,57B","1,18%"
"15.05.2024","35.398,48","35.214,44","35.573,04","35.193,21","2,84B","0,75%"
"14.05.2024","35.134,08","35.042,96","35.291,76","34.898,31","3,12B","0,11%"
"13.05.2024","35.094,42","36.247,92","36.257,58","35.094,42","3,00B","-3,04%"
"10.05.2024","36.193,70","36.287,83","36.320,51","35.925,86","3,62B","-0,29%"
"09.05.2024","36.300,42","36.378,14","36.418,27","36.169,56","3,01B","0,20%"
"08.05.2024","36.227,22","36.281,44","36.378,78","36.170,07","2,98B","0,11%"
"07.05.2024","36.186,81","36.328,79","36.328,79","35.674,07","2,96B","-0,20%"
"06.05.2024","36.259,15","36.212,90","36.385,23","36.083,14","3,15B","0,34%"
"03.05.2024","36.137,36","35.947,03","36.137,36","35.861,26","2,91B","0,69%"
"02.05.2024","35.889,60","35.656,50","35.905,03","35.644,71","2,88B","1,08%"
"30.04.2024","35.506,72","35.629,06","35.669,69","35.391,24","2,87B","-0,24%"
"29.04.2024","35.591,46","35.751,46","35.783,21","35.382,13","3,02B","-0,09%"
"26.04.2024","35.621,91","35.656,72","35.710,32","35.434,77","3,24B","0,19%"
"25.04.2024","35.552,64","35.532,88","35.856,92","35.426,40","3,69B","0,38%"
"24.04.2024","35.417,74","35.599,51","35.710,57","35.217,50","3,29B","0,11%"
"22.04.2024","35.378,53","35.236,61","35.667,15","35.236,61","3,09B","1,20%"
"19.04.2024","34.958,75","34.342,46","34.958,75","34.172,19","2,40B","1,24%"
"18.04.2024","34.531,66","34.588,74","34.643,51","34.320,32","2,26B","0,35%"
"17.04.2024","34.411,74","34.374,01","34.757,17","34.204,01","2,46B","0,50%"
"16.04.2024","34.240,35","34.881,26","34.881,26","33.950,21","2,60B","-2,00%"
"15.04.2024","34.938,70","34.384,01","35.000,28","34.072,25","2,12B","0,57%"
"09.04.2024","34.739,95","34.332,82","34.739,95","34.033,41","961,88M","1,61%"
"08.04.2024","34.188,52","33.064,64","34.188,52","33.064,64","2,04B","4,17%"
"05.04.2024","32.818,98","31.634,91","32.818,98","31.634,91","1,79B","4,20%"
"04.04.2024","31.496,01","31.753,38","32.006,08","31.404,53","1,85B","-0,28%"
"03.04.2024","31.584,02","32.008,09","32.008,09","31.584,02","1,53B","-1,36%"
"02.04.2024","32.019,04","32.620,12","32.904,55","31.938,79","1,78B","-1,43%"
"01.04.2024","32.484,13","33.271,65","33.299,32","31.984,45","1,77B","-2,01%"
"29.03.2024","33.151,43","32.588,20","33.151,43","32.576,56","1,74B","2,03%"
"28.03.2024","32.490,61","32.625,84","32.748,88","32.490,17","1,93B","-0,05%"
"27.03.2024","32.508,29","32.642,96","32.750,29","32.174,05","1,93B","0,08%"
"26.03.2024","32.481,04","33.552,83","33.584,06","32.363,52","2,00B","-2,97%"
"25.03.2024","33.475,97","33.942,41","34.079,57","33.467,54","2,18B","-1,17%"
"22.03.2024","33.873,63","34.020,02","34.218,13","33.706,49","2,08B","-0,21%"
"21.03.2024","33.945,57","34.464,07","34.546,41","33.906,21","2,69B","-1,07%"
"20.03.2024","34.313,70","34.191,14","34.460,35","34.157,60","2,19B","0,58%"
"19.03.2024","34.114,86","33.611,34","34.147,19","33.532,51","2,06B","1,37%"
"18.03.2024","33.655,22","34.867,32","34.893,43","33.600,43","2,31B","-3,22%"
"15.03.2024","34.774,07","35.078,22","35.214,52","34.745,49","2,01B","-0,49%"
"14.03.2024","34.946,51","34.948,34","35.244,98","34.763,17","2,14B","0,44%"
"13.03.2024","34.793,04","34.970,72","35.178,80","34.415,60","2,66B","-0,34%"
"12.03.2024","34.911,42","35.438,37","35.455,21","34.629,19","2,67B","-1,27%"
"11.03.2024","35.360,68","36.040,71","36.212,38","35.355,25","2,48B","-0,85%"
"08.03.2024","35.664,74","35.880,13","36.001,76","35.221,88","2,81B","-0,04%"
"07.03.2024","35.677,53","34.623,75","35.677,53","34.623,75","2,40B","3,34%"
"06.03.2024","34.522,83","35.540,33","35.540,33","34.396,16","2,85B","-2,85%"
"05.03.2024","35.536,49","35.913,36","36.082,95","35.408,59","2,98B","-0,61%"
"04.03.2024","35.755,82","36.168,17","36.276,49","35.644,45","3,56B","-0,60%"
"01.03.2024","35.972,47","35.888,66","36.155,76","35.754,22","3,00B","0,89%"
"29.02.2024","35.654,51","35.033,94","35.654,51","35.019,50","2,75B","1,97%"
"28.02.2024","34.964,20","35.502,63","35.628,91","34.953,62","2,99B","-1,27%"
"27.02.2024","35.413,77","36.011,16","36.028,52","35.215,16","3,35B","-1,08%"
"26.02.2024","35.802,01","35.668,38","35.956,06","35.575,46","3,15B","1,00%"
"23.02.2024","35.448,01","35.480,57","35.571,86","35.176,53","3,42B","0,24%"
"22.02.2024","35.361,44","34.877,88","35.401,52","34.827,90","3,27B","1,86%"
"21.02.2024","34.717,23","34.935,82","34.947,00","34.574,77","3,39B","-0,13%"
"20.02.2024","34.761,09","34.525,93","34.761,09","34.178,44","3,08B","1,14%"
"19.02.2024","34.369,64","34.983,60","35.048,82","34.303,84","3,84B","-1,05%"
"16.02.2024","34.732,71","34.778,48","34.808,25","34.549,02","3,49B","0,30%"
"15.02.2024","34.628,81","34.336,99","34.702,23","34.336,99","3,86B","1,56%"
"14.02.2024","34.098,20","33.526,51","34.098,20","33.171,42","3,59B","1,93%"
"13.02.2024","33.454,06","34.120,80","34.132,94","33.454,06","3,75B","-1,35%"
"12.02.2024","33.910,38","33.694,19","33.942,66","33.694,19","4,04B","1,55%"
"09.02.2024","33.392,15","33.226,90","33.392,15","32.983,08","3,17B","0,90%"
"08.02.2024","33.095,67","32.784,38","33.126,96","32.719,54","3,65B","1,11%"
"07.02.2024","32.732,30","32.641,58","32.903,87","32.560,91","3,92B","0,94%"
"06.02.2024","32.428,44","32.256,71","32.439,13","32.037,22","3,10B","1,36%"
"05.02.2024","31.992,29","31.284,35","32.003,29","31.284,35","2,94B","2,34%"
"02.02.2024","31.261,88","31.388,81","31.463,35","31.099,45","3,00B","-0,04%"
"01.02.2024","31.273,60","30.949,68","31.314,77","30.936,90","2,80B","1,34%"
"31.01.2024","30.860,19","30.670,75","30.968,55","30.587,07","2,33B","1,04%"
"30.01.2024","30.542,70","30.441,88","30.598,96","30.277,11","2,45B","0,93%"
"29.01.2024","30.261,76","30.222,00","30.415,39","30.222,00","2,54B","0,77%"
"26.01.2024","30.030,94","29.773,72","30.049,04","29.711,65","2,43B","1,29%"
"25.01.2024","29.647,36","29.251,31","29.651,98","29.217,17","2,39B","1,90%"
"24.01.2024","29.095,01","28.837,64","29.097,30","28.642,11","2,21B","1,39%"
"23.01.2024","28.697,46","28.814,68","29.013,25","28.603,75","2,64B","0,20%"
"22.01.2024","28.640,18","28.292,01","28.719,40","28.261,66","2,25B","1,33%"
"19.01.2024","28.264,77","28.134,56","28.314,66","27.975,73","1,88B","0,76%"
"18.01.2024","28.050,76","28.057,30","28.273,86","28.050,76","2,17B","0,53%"
"17.01.2024","27.901,53","27.714,83","27.912,99","27.630,33","2,01B","0,71%"
"16.01.2024","27.703,65","27.700,48","27.774,08","27.546,59","2,04B","0,26%"
"15.01.2024","27.632,38","27.308,60","27.729,55","27.308,60","2,12B","1,46%"
"12.01.2024","27.235,77","26.894,36","27.311,08","26.629,16","2,01B","0,82%"
"11.01.2024","27.015,07","27.067,98","27.241,22","26.907,26","1,73B","0,13%"
"10.01.2024","26.978,81","26.709,74","26.995,79","26.615,89","1,71B","0,97%"
"09.01.2024","26.719,04","27.119,45","27.138,34","26.570,30","2,08B","-1,11%"
"08.01.2024","27.018,79","26.762,93","27.026,95","26.762,93","1,61B","1,45%"
"05.01.2024","26.632,97","26.144,43","26.632,97","26.084,65","1,57B","2,07%"
"04.01.2024","26.092,83","25.774,39","26.092,83","25.601,14","1,24B","1,24%"
"03.01.2024","25.773,09","26.536,36","26.536,36","25.754,93","1,52B","-2,74%"
"02.01.2024","26.500,00","25.981,61","26.559,05","25.981,61","1,51B","2,83%"
